timestamp,device_id,src_ip,dst_ip,port,protocol,bytes,duration
2026-03-14T03:23:44.388812+00:00,camera_01,192.168.1.101,185.15.59.224,53,UDP,512,0.05
2026-03-14T03:23:44.945347+00:00,router_01,192.168.1.1,8.8.8.92,80,TCP,173823,1.8178388566363672
2026-03-14T03:23:45.013520+00:00,sensor_01,192.168.1.111,192.168.1.50,1883,TCP,180,0.06445777031178251
2026-03-14T03:23:47.036824+00:00,sensor_02,192.168.1.112,192.168.1.50,1883,TCP,274,0.02720489290047981
2026-03-14T03:23:47.395803+00:00,camera_01,192.168.1.101,185.15.59.224,53,UDP,512,0.05
2026-03-14T03:23:48.041862+00:00,camera_01,192.168.1.101,8.8.8.8,443,TCP,71931,0.219951935045172
2026-03-14T03:23:50.072699+00:00,camera_02,192.168.1.102,192.168.1.10,443,TCP,79267,0.2833560800159203
2026-03-14T03:23:50.424573+00:00,camera_01,192.168.1.101,185.15.59.224,53,UDP,512,0.05
2026-03-14T03:23:50.529137+00:00,gateway_01,192.168.1.254,10.0.0.1,5000,UDP,832,0.3494041102926734
2026-03-14T03:23:50.679876+00:00,router_01,192.168.1.1,8.8.8.24,443,TCP,45383,1.8226846223359099
2026-03-14T03:24:05.496905+00:00,printer_01,192.168.1.121,192.168.1.57,9100,TCP,42232,3.0128920261987053
2026-03-14T03:24:05.487658+00:00,sensor_01,192.168.1.111,192.168.1.50,1883,TCP,122,0.05349085703679334
2026-03-14T03:24:05.486845+00:00,camera_01,192.168.1.101,192.168.1.5,443,TCP,114786,1.2718153223821744
2026-03-14T03:24:05.511465+00:00,router_01,192.168.1.1,8.8.8.33,80,TCP,27486,0.7420004184681663
2026-03-14T03:24:05.514805+00:00,gateway_01,192.168.1.254,10.0.0.1,5000,UDP,1827,0.4523852511656514
2026-03-14T03:24:05.510727+00:00,thermostat_01,192.168.1.131,54.239.28.85,443,TCP,2208,0.3836529544239674
2026-03-14T03:24:07.523179+00:00,camera_02,192.168.1.102,192.168.1.10,443,TCP,92629,1.0635195766034393
2026-03-14T03:24:07.522737+00:00,sensor_02,192.168.1.112,192.168.1.50,1883,TCP,150,0.08517390081895314
2026-03-14T03:24:07.643999+00:00,printer_01,192.168.1.121,192.168.1.178,9100,TCP,185659,1.6880350647977733
2026-03-14T03:24:09.578448+00:00,router_01,192.168.1.1,8.8.8.73,443,TCP,342659,2.8704263020656837
2026-03-14T03:24:10.060573+00:00,printer_01,192.168.1.121,192.168.1.243,9100,TCP,23983,1.168401568224865
2026-03-14T03:24:11.749482+00:00,camera_01,192.168.1.101,192.168.1.5,443,TCP,68429,0.873926511106341
2026-03-14T03:24:12.601308+00:00,printer_01,192.168.1.121,192.168.1.169,9100,TCP,102733,2.849022770779482
2026-03-14T03:24:13.770264+00:00,camera_02,192.168.1.102,8.8.8.8,443,TCP,82047,0.4411514711761634
2026-03-14T03:24:14.193580+00:00,router_01,192.168.1.1,8.8.8.41,80,TCP,81036,3.0079893038180106
2026-03-14T03:24:14.997935+00:00,printer_01,192.168.1.121,192.168.1.132,9100,TCP,163128,1.9701293574540035
2026-03-14T03:24:16.928746+00:00,camera_01,192.168.1.101,8.8.8.8,443,TCP,110480,1.9943879590335667
2026-03-14T03:24:17.150236+00:00,printer_01,192.168.1.121,192.168.1.61,9100,TCP,30609,0.1673069253558668
2026-03-14T03:24:17.540089+00:00,gateway_01,192.168.1.254,10.0.0.1,5000,UDP,784,0.4051480608219803
2026-03-14T03:24:18.952865+00:00,camera_02,192.168.1.102,192.168.1.5,443,TCP,129517,0.5345568311683498
2026-03-14T03:24:19.348252+00:00,camera_01,192.168.1.101,185.15.59.224,53,UDP,512,0.05
