traffic_volume,packet_count,unique_destinations,unique_dst_ports,port_entropy,avg_packet_size,flow_count,avg_duration,periodicity_score,tcp_ratio,connection_frequency,destination_repetition_score,time_of_day_activity,label
54967.14153011233,97.2347139765763,1,1,0.2984250789732435,565.3036789243174,2,0.2403950683025824,0.11742508365045984,0.9598528437324805,0.540192855425424,0.8803345035229626,0.5832290311184182,normal
45305.25614065048,110.8512008717193,2,1,0.30874075481385826,408.7033409144501,2,0.5722807884690141,0.22958350559263474,0.7873687420594125,0.615840004842885,0.8835558684167139,0.3557975442608167,normal
40919.75924478789,71.75392597329417,2,2,0.3925879806965068,570.2790291923213,3,0.4442157921404465,0.3949692657420365,0.8400288679743939,0.39863292207385653,0.9579821220208962,0.5721230154351118,normal
47066.008536413385,99.40322861280502,1,2,0.40419867405823057,473.48571261950326,1,0.11436962699819278,0.16926814768664472,0.7723076398078035,0.5522401589600279,0.9049790556476375,0.5439986631130483,normal
46318.29058656459,107.51129267681388,1,2,0.331261142176991,430.82256229399513,2,0.48264028704212025,0.16238249886045666,0.8703100983459975,0.5972849593156326,0.7093939877366675,0.6369139098379993,normal
28216.657531762914,79.1220718353033,2,2,0.36363599792821044,356.62182343376134,3,0.17964325184672755,0.15879485872574356,0.7135681866731614,0.439567065751685,0.7975990992289793,0.4554709158757928,normal
57737.00416833682,89.23716676674081,2,1,0.14046725484369038,647.0062448223728,4,0.3483992638202891,0.18888205171122474,0.7495800817189007,0.4957620375930045,0.7046909220223582,0.4693605922825478,normal
34369.33205413487,84.08738015725973,1,3,0.09942120204440258,408.7335339721317,4,0.7561064512368886,0.3313811040057838,0.7222133955202271,0.4671521119847763,0.8075397185632818,0.34634762381005185,normal
53312.63431403564,119.51090254244718,2,1,0.03177917514301182,446.09013219610125,3,0.7019571273972466,0.29977670698524905,0.8773893363123181,0.663949458569151,0.7824165378970193,0.5244973703390804,normal
53268.45223970014,98.37762091682626,1,1,0.3608647605824366,541.4692055293364,3,0.7938704619591049,0.24813867890931726,0.8568198488145982,0.5465423384268125,0.8282623055075649,0.3101676506976381,normal
35812.49541408597,120.84983234678842,2,2,0.06966572720293784,296.3388092365664,3,0.4693446307320668,0.3266653415629146,0.7686394496474867,0.6713879574821578,0.7230939729486379,0.4159005811655072,normal
55014.48331524805,123.16373305864056,2,2,0.44164012945943415,446.67762131775123,4,0.8266961396476563,0.368827389977048,0.7954010424915592,0.684242961436892,0.733015577358303,0.39117406501677665,normal
62737.33620139556,94.1609465834876,1,3,0.0034760652655953517,666.2776711337501,4,0.5806804774378977,0.245448991407695,0.9077308098670811,0.5231163699082645,0.7808237001395564,0.3976502088991096,normal
45168.77321248707,88.60343303203193,2,1,0.2019180855290204,509.785813786218,2,0.9746038744488646,0.3887341884826334,0.7755346887476092,0.4922412946223996,0.8491745517677156,0.4203513239267078,normal
50602.30209941026,149.26484224970574,2,3,0.13932323211830572,339.01018710593263,1,0.6709162102312274,0.30421163546643004,0.8592803749951409,0.8292491236094763,0.8343349493719274,0.5211572356285311,normal
42373.730357848486,103.37318774386588,2,3,0.12107996913871294,409.9102608970567,2,0.43100481944732794,0.2896917491780739,0.8900589132282684,0.5742954874659216,0.8607324052224276,0.3361159080217633,normal
45065.67517796673,118.46325216683906,2,1,0.4291794024068599,380.4190274507911,4,0.7098079256580542,0.10497634867835685,0.8536279174897843,0.6581291787046614,0.7679487325593813,0.5580691161637799,normal
55363.360323820656,81.70618137477445,2,3,0.46836499436836726,677.5908430951745,1,0.7081211053353527,0.3205648357722317,0.7627214862213141,0.453923229859858,0.8624343921482698,0.5783137597380328,normal
43743.837047670684,89.55077040934835,2,1,0.25831794563550714,488.48085669963365,1,0.3176670618104065,0.12793083034176977,0.969164727385998,0.49750428005193525,0.9701254171489991,0.5532405829093072,normal
37630.49289121918,73.59086773831447,2,3,0.4281621459390462,511.34731859707614,2,0.8018879912718615,0.2926094938462864,0.7252419894985146,0.40883815410174706,0.7484886142283841,0.6594216754108316,normal
