traffic_volume,packet_count,unique_destinations,unique_dst_ports,port_entropy,avg_packet_size,flow_count,avg_duration,periodicity_score,tcp_ratio,connection_frequency,label
146037,1286,2,3,2.8233961234724436,591.2493592320628,14,1.4898561800382353,0.25691677541896524,0.8225169656932559,2.062018839211251,slow_poison
12015,66,5,2,1.3404990381975757,987.1514387025736,19,9.252661156565404,0.1495772627968125,1.0,0.9408672091334169,policy_violation
5701,17,1,1,0.0,159.68417772172126,1,0.1733424831642642,0.8366657043569766,0.0,0.14907138254158603,c2_beaconing
27631,290,1,3,1.2123732121903876,121.45885544843856,3,2.7294816310788397,0.38739461608272996,0.8765577044180091,0.12098957590427746,normal
34876352,5496,1,1,0.045543533293937066,1374.77605631733,4,28.828016578120888,0.10541771698192798,1.0,23.345547176740816,exfiltration
45975,326,1,3,0.29894974376561534,436.48634825634906,6,0.7677587938596522,0.10734901952548562,0.9807177547175243,1.8499653344361426,normal
2575,37,1,1,0.0,154.983211980356,1,0.12282082253596004,0.9471764183814719,1.0,0.20072470927224365,c2_beaconing
17546,152,1,3,0.8892319420235592,358.3501783380079,2,2.9587884542060467,0.23878309097709355,0.9454901528318145,1.398320088992687,normal
70663,998,2,6,3.6182798806329384,187.13502997368354,28,0.9124080869718687,0.34877099992879157,0.8762129077176783,3.7118063401691423,slow_poison
15207285,16502,1,1,0.10704373429426067,1480.031996772078,4,27.018915041963425,0.1034162601115523,1.0,19.725688428117962,exfiltration
9012,45,1,1,0.0,166.10998252442164,1,0.08948069733385215,0.8356506109977125,1.0,0.21931768122396922,c2_beaconing
11447,429,2,4,1.2997501806867346,1411.9942163971143,7,3.6831278878021383,0.3309239868571262,0.9926231103054235,1.189770232050749,normal
9374,40,1,1,0.0,143.04093271138132,1,0.13026747783626008,0.8719423984293416,1.0,0.4966694198134939,c2_beaconing
46868702,6418,1,1,0.04532411452426788,1247.0986967819879,2,21.43568025678229,0.05651263974383323,1.0,9.523270368552238,exfiltration
6376,233,1,3,0.24830299758189014,281.65361759989923,7,2.928146638108996,0.3631415324534213,0.8301401536764315,0.40561153051971777,normal
6772,368,1,1,0.42877638014981934,168.93232863569904,3,4.699141547394165,0.29884092591272077,0.9533000647598013,1.5551193776703178,normal
44753,322,1,2,0.44414602183160445,1377.7133271869761,6,2.3696772379137103,0.24604846358237106,0.9804679139663526,1.3104631888239595,normal
22715,260,1,2,0.8989655262075871,759.4062604855658,2,0.10090745694766977,0.2087294233563312,0.9212809288103266,1.239466121109527,normal
79192,1109,3,9,2.7971356904558986,1485.907271750678,31,1.1221814679608746,0.3592367703326631,0.9182425046966172,3.4318928955920214,slow_poison
114941,1113,2,3,3.4734779498135966,1087.7263556039939,41,0.6619121430073711,0.4126885682373766,0.8953764298462147,4.0962606887657245,slow_poison
36497,394,2,2,1.492812844037674,146.97288559078248,8,1.5570397363605109,0.22910115325267638,0.7511994275649995,0.24179664724045524,normal
6702,214,1,1,1.4031718441838748,301.6863403286502,8,3.2445419457033577,0.15280984032400025,0.7476108137075009,0.8834350097033127,normal
19214,22,8,2,2.336188530605061,700.3477029430401,6,3.8235677388820037,0.12595631834436496,1.0,0.493445361493403,policy_violation
34299,286,2,1,0.33310496586932115,1086.7482146343998,8,1.2533779833019523,0.24831124331372745,0.9744504849990634,0.5022573070811446,normal
11598355,8169,1,1,0.023820471706368973,1364.9517363452187,4,41.41056833502509,0.15039324513729635,1.0,15.958560022390998,exfiltration
19781167,8133,1,1,0.3073873759099129,1472.637792975004,4,24.033685513016742,0.1742807582852326,1.0,27.408582603367332,exfiltration
74332,1039,4,6,3.7192780150146705,898.4895397453769,35,1.5998530347179958,0.24557845474172887,0.9545222331213276,2.614200181597094,slow_poison
46753,460,2,2,1.4332219384415494,1202.7388833996463,2,0.7143680205147545,0.15687864705300783,0.7095367448665413,1.3810397545222108,normal
43330,453,1,1,0.3609171443426398,1013.0452974563003,8,1.5609005586258875,0.14474053235426135,0.9488569496502264,1.6893883694504,normal
48327825,14291,1,1,0.300923815023615,1495.344444941494,4,27.20051834288076,0.0804260656201413,1.0,9.76550526703784,exfiltration
2370,649,33,114,6.180896550496918,61.20487387001705,290,0.0972517176591249,0.07192713850692155,1.0,5.939130811328961,recon
4576,427,29,123,5.835394314617828,79.86152149927867,274,0.05147831847104329,0.08997410909797443,1.0,2.977394164435465,recon
98083,1063,4,8,2.1306480373020706,179.3138341498732,41,1.6968014767185873,0.22538892080158696,0.8411351427663929,2.8093036178022697,slow_poison
13604,93,4,4,1.073172726398079,469.58823767499905,12,8.76595660156459,0.135076192588797,1.0,0.27733233677767233,policy_violation
11871973,5088,1,1,0.30968741428674096,1263.9631668295738,4,20.37573126251151,0.12660155850640767,1.0,15.639609003533767,exfiltration
41948,331,2,1,1.4881458861583412,363.14090005223176,7,1.5838664559958369,0.3192638869966623,0.9102176563852791,1.219138172863732,normal
43210,284,1,4,0.863747987215661,1057.1334558504864,2,3.6254367765646767,0.3857757943952258,0.7792331170537227,0.2666237474083877,normal
1042,623,11,189,5.929623256759897,83.44458530742419,157,0.06135136382173493,0.07129057903648377,1.0,7.998175243351453,recon
